date of fixing,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,12 years,15 years,20 years,source_sheet
2006-11-15,8.01,7.79,7.61,7.46,7.33,7.22,7.12,7.03,6.95,6.85,6.76,,2006
2006-11-16,8.01,7.78,7.61,7.46,7.34,7.23,7.13,7.04,6.96,6.85,6.75,,2006
2006-11-17,7.98,7.74,7.58,7.43,7.31,7.2,7.1,7.02,6.94,6.84,6.75,,2006
2006-11-20,8.02,7.78,7.61,7.46,7.35,7.24,7.15,7.06,7.0,6.89,6.77,,2006
2006-11-21,7.77,7.55,7.4,7.26,7.16,7.06,6.97,6.89,6.81,6.69,6.59,,2006
2006-11-22,7.85,7.63,7.48,7.35,7.24,7.15,7.06,6.99,6.92,6.79,6.66,,2006
2006-11-23,7.89,7.67,7.52,7.39,7.28,7.19,7.1,7.02,6.94,6.81,6.68,,2006
2006-11-24,7.94,7.74,7.6,7.49,7.37,7.27,7.18,7.1,7.02,6.9,6.78,,2006
2006-11-27,7.86,7.69,7.56,7.45,7.34,7.24,7.15,7.05,6.96,6.84,6.73,,2006
2006-11-28,7.83,7.64,7.52,7.42,7.31,7.21,7.12,7.02,6.93,6.81,6.69,,2006
2006-11-29,7.77,7.59,7.46,7.35,7.26,7.16,7.07,6.98,6.9,6.77,6.65,,2006
2006-11-30,7.8,7.61,7.5,7.4,7.3,7.21,7.11,7.03,6.95,6.82,6.7,,2006
2006-12-01,7.79,7.6,7.49,7.39,7.3,7.21,7.11,7.02,6.94,6.81,6.7,,2006
2006-12-04,7.84,7.65,7.54,7.44,7.35,7.24,7.16,7.07,6.99,6.86,6.75,,2006
2006-12-05,7.82,7.64,7.52,7.43,7.34,7.25,7.15,7.06,6.98,6.85,6.74,,2006
2006-12-06,7.83,7.65,7.54,7.45,7.36,7.26,7.16,7.07,6.99,6.86,6.75,,2006
2006-12-07,7.84,7.66,7.55,7.46,7.36,7.27,7.17,7.08,7.0,6.87,6.76,,2006
2006-12-08,7.87,7.69,7.56,7.47,7.37,7.27,7.18,7.09,7.0,6.87,6.74,,2006
2006-12-11,7.85,7.68,7.56,7.46,7.36,7.27,7.17,7.08,7.0,6.87,6.74,,2006
2006-12-12,7.74,7.56,7.45,7.35,7.25,7.15,7.05,6.97,6.88,6.75,6.62,,2006
2006-12-13,7.65,7.47,7.36,7.27,7.18,7.08,6.98,6.88,6.79,6.66,6.54,,2006
2006-12-14,7.66,7.49,7.37,7.26,7.15,7.05,6.94,6.84,6.75,6.62,6.5,,2006
2006-12-15,7.65,7.47,7.36,7.25,7.14,7.04,6.93,6.83,6.74,6.61,6.49,,2006
2006-12-18,7.69,7.51,7.4,7.3,7.19,7.08,6.98,6.88,6.79,6.65,6.53,,2006
2006-12-19,7.7,7.52,7.41,7.31,7.2,7.09,6.99,6.89,6.8,6.66,6.54,,2006
2006-12-20,7.74,7.56,7.45,7.35,7.24,7.13,7.03,6.93,6.84,6.7,6.58,,2006
2006-12-21,7.69,7.51,7.4,7.3,7.19,7.08,6.98,6.88,6.79,6.65,6.53,,2006
2006-12-22,7.65,7.48,7.36,7.26,7.16,7.06,6.96,6.86,6.77,6.63,6.51,,2006
2006-12-27,7.65,7.47,7.35,7.25,7.15,7.05,6.95,6.85,6.76,6.62,6.49,,2006
2006-12-28,7.65,7.47,7.36,7.26,7.16,7.06,6.95,6.86,6.77,6.63,6.5,,2006
2006-12-29,7.63,7.46,7.35,7.25,7.15,7.05,6.94,6.85,6.75,6.62,6.49,,2006
2007-01-02,7.54,7.38,7.27,7.18,7.08,6.98,6.88,6.79,6.7,6.55,6.43,,2006
2007-01-02,7.54,7.38,7.27,7.18,7.08,6.98,6.88,6.79,6.7,6.55,6.43,,2007
2007-01-03,7.48,7.33,7.22,7.12,7.03,6.93,6.84,6.75,6.66,6.51,6.39,,2007
2007-01-04,7.55,7.38,7.27,7.18,7.09,7.0,6.9,6.81,6.73,6.59,6.45,,2007
2007-01-05,7.7,7.51,7.38,7.27,7.17,7.07,6.97,6.88,6.8,6.65,6.51,,2007
2007-01-08,7.71,7.54,7.4,7.29,7.19,7.09,6.99,6.89,6.81,6.68,6.53,,2007
2007-01-09,7.75,7.56,7.42,7.3,7.2,7.1,7.0,6.9,6.82,6.68,6.52,,2007
2007-01-10,7.85,7.67,7.54,7.43,7.32,7.22,7.11,7.01,6.92,6.77,6.62,,2007
2007-01-11,7.84,7.67,7.55,7.44,7.33,7.23,7.13,7.04,6.95,6.79,6.64,,2007
2007-01-12,7.91,7.75,7.64,7.53,7.44,7.34,7.23,7.14,7.04,6.89,6.73,,2007
2007-01-15,7.83,7.68,7.56,7.47,7.37,7.28,7.19,7.1,7.01,6.86,6.7,,2007
